管理組織名稱,地址門牌,使照號碼,核准日期,核准文號,證書編號
必勝文教大樓管理負責人,桃園區延平路232號等,(95)桃縣工建使字第桃00156號,095/07/31,'0950222880,'
財團法人桃園農田水利研究發展基金會辦公大,桃園區延平路28之8號,(96)桃縣工建使字第桃01281號,096/09/03,'0960295088,'
縣府ＬＶ管理委員會,桃園區延壽街121之10巷17號,(90)桃縣工建使字第桃00329號,091/03/29,'0910066487,'910022
縣府大狀元管理委員會,桃園區延壽街143巷1-15號,(84)桃縣建使字第00351號,086/03/04,'8600039419,'860057
延壽吉祥,桃園區延壽街159號等,(83)桃縣工建使字第桃0199號,094/05/23,'0940138491,'940082
巨星世家,桃園區延壽街168巷10號4樓,(81)桃縣建使字第00098號,088/09/19,'8800204315,'880155
和砌社區管理委員會,桃園區延壽街97巷2號,(101)桃縣工建使字第桃00273號,101/07/25,'1010183785,'101135
長堤雲鼎社區管理委員會,桃園區忠二路150號 等,(99)桃縣工建使字第桃01115號,100/11/23,'1000480315,'100226
翠園雅築大樓管理委員會,桃園區忠五路88號2樓,(83)桃縣工建使字第00476號,093/04/26,'0930099543,'930056
愷悅社區管理委員會,桃園區忠義里13鄰大業路一段51號,84桃縣工建使字第其字第426號,103/05/05,'1030029313,'103094
青川社區管理委員會,桃園區忠義里5鄰大業路一段19巷68、70號,(101)桃縣工建使字第桃01200號,102/05/16,'1020120261,'102100
住都境廈管理委員會,桃園區昆明路15號,(84)桃縣建使字第00378號,089/08/18,'8900165771,'890145
桃名園社區,桃園區昆明路181巷1號（守衛室）,建造號碼:73-438,090/09/07,'9000166606,'900098
地鐵名店社區管理委員會,桃園區昆明路262巷14弄7號,(81)桃縣工建使字第桃00709號,086/04/23,'8600074315,'860115
太陽神B區管理委員會,桃園區明德街18號1樓,(82)桃縣建使字第00151號,087/08/26,'8700170376,'870182
合勤晴空宿社區管理委員會,桃園區東山里15鄰春日路85號,(105)桃市都施使字第桃01536號,107/03/07,'1070013301,'107008
龍第社區管理委員會,桃園區東埔里15鄰正康二街54號,79桃縣工建使字第264號,102/11/29,'1020295789,'102269
桃園第一廣場二期大樓,桃園區東國街38號B1,(84)桃縣建使字第00161號,085/12/06,'8500275823,'
天樂商業大樓管理委員會,桃園區東國街61號1樓之8,79桃縣工建使其字第0086號,103/01/22,'1030006000,'103025
朝陽春城公寓大廈管理委員會,桃園區東興街33號,(97)桃縣工建使字第桃00910號,098/05/01,'0980164039,'980059
宏碩社區管理負責人,桃園區武陵里11鄰大同路5號2樓,(101)桃縣工建使字第桃01230號,102/11/29,'1020295860,'102270
新站風華公寓大廈管理委員會,桃園區金門二街177號(警衛室),(92)桃縣工建使字第桃00302號,092/07/21,'0920167285,'920084
陽明金磚大廈管理負責人,桃園區金門二街195號,(101)桃縣工建使字第桃01050號,101/11/29,'1010304308,'101254
新站薇多利亞社區管理委員會,桃園區金門二街238-1號2樓,(98)桃縣工建使字第00544號,099/01/19,'0990025611,'099018
學仕名邸,桃園區金門二街306號2樓之2,(84)桃縣工建使字第00427號,086/01/07,'8600001614,'
第一家庭管理委員會,桃園區金門二街75號等,(83)桃縣工建使字第其063號,//,'870040,'
延平新站公寓大廈管理委員會,桃園區金門三街9號1樓,(103)桃縣工建使字第桃01121號,104/12/02,'1040071676,'
美美華廈管理負責人,桃園區金門四街15號等,(98)桃縣工建使字第桃00702號,098/08/11,'0980307557,'980136
藏富社區管理委員會,桃園區長安里17鄰愛十街62號,(101)桃縣工建使字第桃00291號,103/11/25,'1030088415,'103263
不可求社區管理委員會,桃園區長安里8鄰中正五街129號,(104)桃市工建使字第桃00264號,105/07/04,'1050035305,'105019
富貴名第管理委員會,桃園區長安里愛六街39號,(82)桃縣工建使字第00177號,105/10/27,'1050062097,'105034
長春藤社區A棟管理負責人,桃園區長春路68號,(84)桃縣工建使字第00335號,106/01/12,'1060002447,'106001
博愛大樓管理委員會,桃園區長美里14鄰博愛路145號,(72)桃縣工建使字第桃00096號,106/11/08,'1060069673,'106027
尊勝首善社區管理委員會,桃園區長美里1鄰博愛路151號,(103)桃縣工建使字第桃00586號,103/10/01,'1030071246,'103217
謙境社區管理委員會,桃園區長德里11鄰愛五街9號2樓等9戶,(104)桃市工建使字第桃00287號,105/05/09,'1050023929,'105011
簡家園管理負責人,桃園區長德里7鄰慈文路379號 等,(104)桃市工建使字第桃00234號,107/01/25,'1070002029,'107003
大來賞社區管理委員會,桃園區青田街206-1號,(92)桃縣工建使字第桃01628號,093/03/25,'0930069188,'930039
艾可米公寓大廈,桃園區青溪里10鄰三民路二段51號,(104)桃市都建使字第桃00852號,104/12/16,'1040073782,'104034
英堡璞玉苑大樓管理委員會,桃園區青溪里4鄰鎮四街46號等,(103)桃縣工建使字第桃00241號,103/10/17,'1030076050,'103233
昭揚越社區管理委員會,桃園區保定三街91號等,(106)桃市都施使字第桃00334號,106/07/27,'1060045320,'106020
名人香榭住戶管理委員會,桃園區保羅街20號,(81)桃縣建使字第00234號,090/06/07,'9000111425,'900065
陽明公園社區管理委員會,桃園區保羅街66號9樓,(97)桃縣工建使字第桃00722號,097/11/04,'0970371666,'970188
縣府雅築,桃園區信一街16號等,(84)桃縣建使字第01839號,090/02/19,'9000030750,'900031
竹城早稻田公寓大廈,桃園區信光里12鄰大連一街61號,(102)桃縣工建使字第桃00908號,105/01/30,'1050005212,'105003
信光大社區管理委員會,桃園區信光路26號,(85)桃縣工建使字其134號,088/01/06,'8800003368,'880003
天下至尊管理委員會,桃園區南山街156號,(83)桃縣建使字第00433號,086/03/14,'8600046109,'860067
閱讀翡冷翠3社區管理委員會,桃園區南平路110巷7號,(99)桃縣工建使字第桃00085號,100/01/28,'1000037605,'100017
竹城一期社區公寓大廈管理委員會,桃園區南平路181巷2號守衛室,(88)桃縣工建使字第桃00176號,088/05/28,'8800111949,'880095
羅丹生活家大廈管理委員會,桃園區南平路213號,(84)桃縣建使字第00075號,087/08/29,'8700172644,'870184
玉晶大廈管理負責人邱文連,桃園區南平路336號等,(94)桃縣工建使字第桃01348號,//,'0950021110,'
林麗卿張榮智名門首富管理負責人,桃園區南平路366號,(98)桃縣工建使字第桃00832號,099/02/04,'0990049989,'990022
富吉大廈管理負責人,桃園區南平路433號,(99)桃縣工建使字第桃00879號,099/11/02,'0990435038,'990268
喜哲中正豪門,桃園區南平路46號5樓,(84)桃縣建使字第00447號,087/02/05,'8700021353,'870021
陳勇志公寓大廈管理負責人,桃園區南平路478號,(101)桃縣工建使字第桃00069號,101/04/17,'1010094575,'101064
竹之城社區管理委員會,桃園區南平路499號,(87)桃縣建使字第其00052號,088/07/22,'8700120225,'870124
春俊大樓管理負責人,桃園區南平路546號,(95)桃縣工建使字第桃02533號,095/12/25,'0950391828,'
中國龍三期公寓大廈,桃園區南平路593號,(88)桃縣建使字第01481號,089/01/20,'8900015353,'890012
桃園雲觀大廈管理委員會,桃園區南平路70號,(84)桃縣建使字第00037號,087/06/18,'8700120164,'870122
力璞悅月館社區管理委員會,桃園區南埔里12鄰永順街113-1巷11號,(103)桃縣工建使字第桃01214號,104/03/04,'1040011436,'104006
永順公寓管理負責人,桃園區南埔里12鄰永順街95號,(102)桃縣工建使字第桃01459號,103/01/02,'1030000298,'103001
鎮南街電梯華廈管理負責人,桃園區南華里7鄰鎮南街24號,(103)桃縣工建使字第桃00202號,103/11/03,'1030081123,'103247
南門大廈管理委員會,桃園區南華街197號1樓,(69)桃縣工建使字第桃其102號,094/06/23,'0940170852,'940095
桃園天廈管理負責人 沈陳采妹,桃園區南華街60號等,(87)桃縣工建使字第桃01386號,097/08/10,'0970258684,'
鎮南華廈管理委員會,桃園區南華街66號7樓之6,(84)桃縣工建使字第00305號,085/12/27,'8500289239,'860079
運通大樓管理委員會,桃園區南華街77號5樓,(81)桃縣建使字第00211號,093/07/21,'0930185840,'930106
桃大君匯社區管理委員會,桃園區南豐二街120號,(100)桃縣工建使字第桃01378號,101/09/21,'1010238884,'101187
新家坡NO7玉山官邸,桃園區南豐二街168巷170號(守衛室),(92)桃縣工建使字第桃00786號,093/05/06,'0930109588,'930059
飛皇富邑大廈,桃園區南豐三街28-30號,(81)桃縣工建使字其0153號,086/08/15,'8600158915,'860231
建國大帝公寓大廈管理委員會,桃園區南豐街119巷2號,(88)桃縣工建使字第桃00171號,093/05/11,'0930114240,'930062
三普皇第,桃園區南豐街245號3樓之2,(84)桃縣工建使字第0其40號,085/12/23,'8500286792,'860151
桂梅公寓大廈管理負責人,桃園區建成街21號,(99)桃縣工建使字第桃00200號,106/05/03,'1060025885,'106015
新站水花園社區管理委員會,桃園區建明街27號,(93)桃縣工建使字第桃02049號,094/07/25,'0940201962,'940116
六八社區管理委員會,桃園區建明街6、8號,(78)桃縣工建使字第桃00606號,099/12/09,'0990490085,'990297
富萊敦品社區管理委員會,桃園區建國里14鄰大林路5號等21戶,(105)桃市都施使字第桃01428號,106/03/10,'1060013097,'106006
福遠名居管理委員會,桃園區建國路14號等,(82)桃縣工建使字其374號,086/04/21,'8600073485,'860117
美麗殿大廈管理委員會,桃園區建國路188之2號7樓,(88)桃縣工建使字第桃00448號,089/10/02,'8900200014,'890163
藝術庭園,桃園區建國路244號等,(77)桃縣建使字第01142號,094/05/05,'0940120684,'940070
金棕櫚社區,桃園區建國路278號,(96)桃縣工建使字第桃00922號,096/11/14,'0960384036,'960232
長壽富貴,桃園區建國路307號1樓,(89)桃縣工建使字第桃00086號,092/08/19,'0920190299,'920095
都泊林社區管理委員會,桃園區建國路316號,(95)桃縣工建使字第桃02624號,096/04/04,'0960107739,'096075
世紀名園大廈,桃園區建國路333號6樓,(83)桃縣工建使字第0251號,087/03/06,'8700042888,'870047
臻品苑管理委員會,桃園區建國路348巷30-1號,(104)桃市都建使字第桃00665號,105/07/12,'1050037255,'105020
新站公園社區管理委員會,桃園區建國路48-1號(警衛室),(92)桃縣工建使字第桃00814號,093/03/19,'0930064031,'930032
尊品社區管理委員會,桃園區建國路47-1號,(91)桃縣工建使字第桃00650號,091/09/12,'0910200563,'910109
新站京華公寓大廈管理委員會,桃園區建國路61巷5-2號,(91)桃縣工建使字第桃00400號,091/11/25,'0910161774,'910083
聚寶第住商大廈管理委員會,桃園區建國路8號10樓,(85)桃縣工建使字第00133號,087/03/02,'8700038838,'870045
吉多臻寶社區管理委員會,桃園區建新街167號10樓,(94)桃縣工建使字第桃02030號,095/04/13,'0950105479,'095066
onelife社區管理負責人,桃園區建新街285巷7號等10戶,(103)桃縣工建使字第桃00529號,105/09/07,'1050051114,'105028
美禾院管理負責人,桃園區建新街463巷9-7號,(99)桃縣工建使字第桃00108號,099/09/29,'0990382834,'990242
春暉大廈,桃園區春日路1039號,(90)桃縣工建使字第桃00145號,090/02/21,'9000032275,'900033
宏和別莊社區,桃園區春日路1046巷26弄10號,(87)桃縣工建使字第桃01384號,088/03/21,'8800078653,'880071
航空VISA大廈管理委員會,桃園區春日路1119號等,(89)桃縣工建使字第桃01312號,091/03/11,'0910047037,'910015
金鑽大廈管理負責人,桃園區春日路1138號等,(97)桃縣工建使字第桃00320號,098/04/03,'0980124738,'
東京貴族社區管理委員會,桃園區春日路1155號,(84)桃縣建使字第00265號,087/10/20,'8700213140,'870224
大塊文章社區管理委員會,桃園區春日路1169號,(93)桃縣工建使字第桃01325號,093/11/23,'0930306922,'930156
舒沛廠房管理負責人,桃園區春日路1434巷87號等,(97)桃縣工建使字第桃01618號,098/03/06,'0980082720,'
五星一品社區管理委員會,桃園區春日路1465號等,(95)桃縣工建使字第桃03088號,097/06/19,'0970196568,'970101
海王經貿廣場管理委員會,桃園區春日路1492號等,(97)桃縣工建使字第00716號,098/01/22,'0980029770,'099013
香波皇家城堡公寓大廈管理委員會,桃園區春日路1629巷7號,(95)桃縣工建使字第桃01345號,096/09/27,'0960323314,'960196
傳世御寶社區管理委員會,桃園區春日路185號,(92)桃縣工建使字第桃01078號,093/04/20,'0930093233,'930045
御集公寓大廈管理委員會,桃園區春日路19號(管理室),(103)桃縣工建使字第桃00862號,104/02/03,'1040005927,'104005
柏迪華廈管理委員會,桃園區春日路327號7樓,(83)桃縣工建使字第0179號,101/02/02,'1010027821,'101017
帝堡D區,桃園區春日路632巷63號4樓,(91)桃縣工建使字第桃01270號,092/03/12,'0920052776,'920027
日和長虹大廈管理委員會,桃園區春日路634-636號等,(87)桃縣建使字第00102號,088/07/12,'8800146644,'880123
潤泰大家社區管理委員會,桃園區春日路656號(管理室),(88)桃縣工建使字第桃02192號,091/11/11,'0900226902,'090126
龍榮企業大樓,桃園區春日路770號等,(81)桃縣建使字第00143號,092/03/18,'0920058197,'920032
昇捷逸品社區管理委員會,桃園區春日路848~858-1號,(98)桃縣工建使字第桃00231號,098/12/25,'0980556132,'980255
總督府米蘭城堡管理委員會,桃園區春日路900巷10號,(94)桃縣工建使字第桃00453號,094/09/12,'0940252736,'940156
RV生活館管理委員會,桃園區春日路924號2樓-2,(90)桃縣工建使字第桃01863號,091/07/19,'091156176,'910077
國泰世紀名園管理委員會,桃園區春日路975巷6-1號,(77)桃縣工建使字第02619號,097/04/28,'0970132496,'970051
環宇經貿辦公大樓管理委員會,桃園區春日路985號,79桃縣工建使字第其0202號,102/09/06,'1020222982,'102209
吉品公寓大廈管理委員會,桃園區埔新路128~138號,(95)桃縣工建使字第桃02285號,096/01/30,'0960037748,'096039
松柏園管理委員會,桃園區埔新路197號3樓,(82)桃縣工建使字第00192號,093/08/10,'0930205683,'930114
曾瀅霖公寓大廈管理負責人,桃園區峨眉三街7號等,(98)桃縣工建使字第桃00078號,098/05/01,'0980164042,'980060
萊茵園大廈管理委員會,桃園區桃一街50號1樓,(83)桃縣工建使字其469號,085/12/23,'8500286855,'101088
成功新象社區,桃園區桃一街51巷1號,(80)桃縣工建使字第其00001號,086/12/11,'8600244096,'860330
東門學圃管理委員會,桃園區桃二街6號5樓,(83)桃縣工建使字第其074號,095/07/04,'0950192185,'095130
成功綠第社區,桃園區桃二街70號,(86)桃縣建使字第00271號,088/01/28,'8800021318,'880024
雪梨市2000社區管理委員會,桃園區桃三街56號9髏,(84)桃縣建使字第00252號,085/11/13,'17294,'
桃大泰極社區管理委員會,桃園區桃智路6號等167戶,(102)桃縣工建使字第桃01263號,103/03/06,'1030014742,'103058
宜誠廣見社區管理委員會,桃園區桃園區國強一街12號,(105)桃市都施使字第桃00050號,105/09/26,'1050054955,'105029
寶麗金住辦大廈,桃園區桃園區復興路99號12樓之1,(86)桃縣工建使字第00078號,105/05/17,'1050026149,'105012
景福宮公寓大廈管理負責人,桃園區桃源街19號等,(98)桃縣工建使字第桃00136號,098/04/23,'0980152207,'980054
黃騰貴族社區管理負責人,桃園區桃源街30號 等,(103)桃市工建使字第桃01497號,106/08/07,'1060047370,'106021
總督府社區管理委員會,桃園區桃德路29巷18號等,(96)桃縣工建使字第桃01547號,097/02/04,'0970040971,'970019
當代之星管理負責人,桃園區桃鶯路157號,(98)桃縣工建使字第桃00280號,098/05/20,'0980191943,'980074
浪漫貴族大廈,桃園區桃鶯路231巷18號6樓,(84)桃縣建使字第00226號,087/06/03,'8700098717,'870103
松柏園社區,桃園區桃鶯路249巷12弄1號2樓,(82)桃縣建使字第00461號,087/07/16,'8700140274,'870152
富貴牡丹,桃園區桃鶯路249巷32號,(88)桃縣工建使字第桃01762號,090/09/07,'9000166002,'900097
台北新都社區,桃園區桃鶯路296巷16號4樓,(82)桃縣建使字第00593號,086/02/03,'8600023305,'860027
善美館社區管理委員會,桃園區桃鶯路387號,(100)桃縣工建使字第桃01496號,101/07/16,'1010175403,'101124
天空樹社區管理委員會,桃園區泰山里17鄰宏昌六街16號,(102)桃縣工建使字第桃01129號,103/04/25,'1030027425,'103089
縣府風華社區管理委員會,桃園區泰山里中山路501號,(85)桃縣建使字第00320號,086/10/14,'8600201109,'860270
森活達人風和社區管理委員會,桃園區泰昌一街42號7樓,(94)桃縣工建使字第桃01976號,095/06/20,'0950173809,'
森活達人日麗社區管理委員會,桃園區泰昌一街43號5樓,(94)桃縣工建使字第桃01975號,095/07/28,'0950220616,'950151
合家歡A區社區,桃園區泰昌一街46號,(83)桃縣建使字第00268號,087/06/01,'8700106276,'870107
合家歡社區B區,桃園區泰昌一街49-57號,(83)桃縣建使字第00269號,087/05/21,'8700098715,'870102
星洲B棟社區,桃園區泰昌一街67號1樓,(82)桃縣建使字第00174號,087/11/16,'8700217005,'870229
星洲花園名廈管理委員會,桃園區泰昌一街68號3樓,(82)桃縣建使字第00293號,087/08/18,'8700164905,'870175
誠品A+社區管理委員會,桃園區泰昌七街90號,(95)桃縣工建使字第桃03034號,097/01/14,'0970015158,'970008
雙橡園管理委員會,桃園區泰昌九街14-1號1樓 (管理中心警衛室),(83)桃縣工建使字第其165號,086/11/20,'8600228635,'860311
全家福住戶管理委員會,桃園區泰昌九街35-1號,(83)桃縣工建使字第00139號,089/10/04,'8900202320,'890166
中平經典管理委員會,桃園區泰昌九街5巷7號,(97)桃縣工建使字第桃00647號,100/10/15,'1000467714,'100222
笙園水鏡別墅社區管理委員會,桃園區泰昌九街9巷1號,(93)桃縣工建使字第02937號共2筆使照,096/02/07,'0960047890,'096048
喜來登社區管理委員會,桃園區泰昌二街59巷20號,(76)桃縣工建使字第01306號,099/04/29,'0990162375,'990089
文化公園公寓大廈,桃園區泰昌二街85號1樓之2,(84)桃縣工建使字第0211號,086/08/26,'8600165910,'860233
藍天富貴社區管理委員會,桃園區泰昌八街15~21號,(82)桃縣工建使字第其134號,096/12/18,'0960424460,'960259
春城VILLA公寓大廈管理委員會,桃園區泰昌十一街33號1樓,(97)桃縣工建使字第桃00723號,098/09/09,'0980351593,'980165
尊貴學俯第七期,桃園區泰昌十二街93巷6號,(96)桃縣工建使字第桃02342號,097/08/25,'0970276819,'970155
尊龍庭園社區,桃園區泰昌十二街97-133號,(83)桃縣建使字第00406號,087/06/15,'8700117243,'870119
東方翡翠管理委員會,桃園區泰昌十三街13巷1號2樓,(82)桃縣建使字第00149號,088/07/25,'8800157337,'880131
尊貴嘉園管理委員會,桃園區泰昌十三街7-1號3樓,(90)桃縣工建使字第桃00715號,091/12/12,'0910275836,'910151
富豪林園管理委員會,桃園區泰昌十街6號11樓,(84)桃縣建使字第00308號,086/04/14,'8600066188,'860108
麗晶公園社區,桃園區泰昌三街166號7樓-3,(87)桃縣工建使字第桃01019號,088/10/12,'8800221824,'880178
縣府尊邸社區管理負責人,桃園區泰昌三街16號,(94)桃縣工建使字第桃00692號,095/03/23,'0950083018,'
童話世界社區管理委員會,桃園區泰昌三街203號,(87)桃縣建使字第00150號,087/10/06,'8700202644,'870212
陽明天下NO.2社區管理委員會,桃園區泰昌三街2號,(85)桃縣建使字第00052號,086/12/30,'8600257204,'860350
麗寶名邸,桃園區泰昌三街33巷8號,(87)桃縣建使字第00380號,088/09/07,'8800195734,'880150
富貴桃源管理委員會,桃園區泰昌三街88-2號2樓,(83)桃縣工建使字第00360號,086/12/09,'8600242001,'860327
利堡綠園管理委員會,桃園區泰昌五街21號3樓,(84)桃縣工建使字第0023號,101/01/02,'1010001313,'101001
幸福公園3社區管理委員會,桃園區健行路110號,(106)桃市都施使字第桃00918號,106/12/21,'1060080230,'106033
幸福公園2社區管理委員會,桃園區健行路112號,(105)桃市都施使字第桃00969號,105/12/19,'1050074375,'105047
永暐華廈,桃園區健行路126巷8-32號等,(83)桃縣工建使字第其529號,095/12/13,'0950376988,'095276
春日印象大廈管理委員會,桃園區健行路16號等,(90)桃縣工建使字第桃01148號,091/07/29,'0910163140,'910085
久田第管理負責人,桃園區國光街132號,(96)桃縣工建使字第桃00065號,098/08/03,'0980297041,'980131
風尚社區管理負責人,桃園區國光街92號等5戶,(95)桃縣工建使字第桃00976號,095/10/23,'0950315558,'
夢公園公寓大廈管理委員會,桃園區國信街91號,(95)桃縣工建使字第桃02331號,096/06/14,'0960196492,'096135
誠豐大廈管理委員會,桃園區國強一街168-2號3樓,(102)桃縣工建使字第桃01460號,103/10/17,'1030076610,'103235
宜誠富御社區管理委員會,桃園區國強一街178號3樓,(100)桃縣工建使字第00861-03號,101/09/24,'1010240108,'101189
新北歐社區管理委員會,桃園區國強一街180號,(98)桃縣工建使字第桃00845號,099/07/06,'0990255843,'990162
歡樂家庭公寓大廈管理委員會,桃園區國強一街202號,(97)桃縣工建使字第桃01817號,099/09/24,'0990370679,'990238
宜欣大樓管理委員會,桃園區國強一街227號4樓,(83)桃縣工建使字第0460號,085/11/11,'8500257744,'860001
名人花園社區,桃園區國強一街231號等,(90)桃縣工建使字第桃00462號,091/04/09,'0910074464,'910025
竹城加賀社區管理委員會,桃園區國強一街259號,(91)桃縣工建使字第桃00772號,092/01/03,'0920002349,'920001
國強一街社區管理委員會,桃園區國強一街260號,(92)桃縣工建使字第桃00517號,092/11/24,'0920271709,'920142
宜欣園公寓大廈管理委員會,桃園區國強一街434號等,(82)桃縣工建使字第00005號,098/07/03,'0980255921,'980108
天豪大第公寓大廈,桃園區國強一街483號等,(79)桃縣工建使字第桃01252號,094/08/26,'0940235998,'940146
貴族學院管理委員會,桃園區國強一街92號3樓,(81)桃縣工建使字第0323號,098/08/04,'0980299077,'980132
宏國第一選A區,桃園區國強七街108號7樓,(86)桃縣建使字第00051號,089/08/16,'8900163053,'890144
桃園市龍鳳里幸福二期,桃園區國強七街99號,(88)桃縣工建使字第桃02090號,090/10/11,'9000206052,'900116
新美國社區住戶管理委員會,桃園區國強二街215號,(83)桃縣建使字第00085號,086/05/08,'8600085415,'860132
富及帝社區管理委員會,桃園區國強二街279號(警衛室),(85)桃縣工建使字第00748號,086/03/28,'8600057100,'860093
合遠悅沁社區管理委員會,桃園區國強十一街61號2樓,(105)桃市都施使字第桃01261號,106/04/11,'1060020292,'106012
桃園之心管理委員會,桃園區國強十一街78號,(90)桃縣工建使字第桃00753號,090/12/10,'9000250482,'900139
麒麟香榭社區住戶管理委員會,桃園區國強十二街6巷1號,(87)桃縣工建使字第00730號,087/12/18,'0870250553,'870256
鴻麒文中尊邸社區,桃園區國強十一街96巷13號,(88)桃縣工建使字第桃00291號,089/03/06,'8900043630,'890042
總督府第五期B區社區,桃園區國強十三街32巷1號等,(92)桃縣工建使字第桃01769號,093/02/02,'0930021744,'930009
永晟青澄社區管理委員會,桃園區國強十三街75號 等,(103)桃縣工建使字第桃01382號,106/04/28,'1060025411,'106016
清庭社區管理委員會,桃園區國強十三街82號2樓,(95)桃縣工建使字第桃02032號,096/12/05,'0960408666,'960253
龍安名廈管理委員會,桃園區國強十三街85號5樓,(84)桃縣工建使字其402號,086/12/10,'8600242861,'860329
幸福社區,桃園區國強六街1號(管理室),(88)桃縣工建使字第桃00840號,090/08/10,'9000412125,'900085
桃園瑞士花園社區管理委員會,桃園區國聖一街127號,(87)桃縣工建使字第桃00118號,088/04/28,'8800086350,'880079
海德堡社區管理委員會,桃園區國聖一街150號,(98)桃縣工建使字第00011號,099/01/04,'0990000740,'099002
香格里拉O棟,桃園區國聖一街151號3樓,(86)桃縣建使字第00174號,089/12/02,'8900245075,'890190
康橋別墅二期管理委員會,桃園區國聖一街169號,(92)桃縣工建使字第桃00899號,093/03/25,'0930041796,'930019
國泰香格里拉C區,桃園區國聖一街35號,(85)桃縣工建使字第其347號,086/11/27,'8600233806,'860317
合家歡公寓大廈管理負責人,桃園區國聖一街49號等,(95)桃縣工建使字第桃01167號,095/10/17,'0950309848,'
巴黎之星公寓大廈,桃園區國聖一街51號,(85)桃縣工建使字第0060號,087/02/13,'8700027991,'870029
國家都會廣場社區管理委員會,桃園區國聖一街61號,(83)桃縣工建使字第00383號,086/01/28,'8600019253,'860014
國泰紐約廣場社區管理委員會,桃園區國聖一街8號12樓之1,(95)桃縣工建使字第桃03056號,096/07/27,'0960250366,'960156
桃園英倫皇家社區,桃園區國聖二街2號B1,(88)桃縣工建使字第桃01482號,089/06/17,'8900117905,'890112
國際京城A社區管理委員會,桃園區國鼎一街1號,(84)桃縣工建使字第00030號,087/12/18,'8700253282,'870260
桃園國際大郡巴黎花都社區管理委員會,桃園區國鼎一街23號,(86)桃縣建使字第00238號,087/07/23,'8700145263,'870156
國際京城B區,桃園區國鼎一街4號,(84)桃縣建使字第00030號,085/09/00,'8500257985,'870211
東林別墅社區管理負責人,桃園區國際2路86號,(96)桃縣工建使字第桃01860號,101/11/08,'1010284622,'
桃大富林苑社區管理委員會,桃園區國際一路2號,(101)桃縣工建使字第桃00729號,101/12/25,'1010327046,'101273
新家坡NO.16社區管理委員會,桃園區國際一路50號,(97)桃縣工建使字第桃01749號,099/06/17,'0990230743,'990140
康橋伯爵社區管理委員會,桃園區國際路一段1017-6號,(94)桃縣工建使字第桃00509號,094/08/19,'0940229470,'940143
中山華廈管理負責人康國華,桃園區國際路一段1059號,(96)桃縣工建使字第桃00103號,096/03/08,'0960074673,'
國泰香格里拉N區公寓大廈管理委員會,桃園區國際路一段1079號,(85)桃縣建使字第00348號,088/07/16,'8800148323,'880126
香格里拉Ｍ區社區,桃園區國際路一段1119號,(85)桃縣工建使字第00346號,086/11/03,'8600215044,'860293
香格里拉M區社區管理委員會,桃園區國際路一段1119號等,(85)桃縣工建使字第其346號,095/04/17,'0950107874,'950071
京城芳鄰管理委員會,桃園區國際路一段1155號6樓,82工建執照字第其236號/83工建使其00545號,099/04/27,'0990158048,'990084
冠桃園社區管理委員會,桃園區國際路一段1185號,(86)桃縣建使字第00317號,088/09/03,'8800191895,'880146
中山雅居,桃園區國際路一段1210巷7號6樓,(84)桃縣工建使字第00249號,086/09/01,'8600170244,'860242
布拉格金鑽特區管理負責人,桃園區國際路一段21號,(100)桃縣工建使字第桃00673號,101/04/05,'1010084631,'101057
國際名邸社區管理委員會,桃園區國際路一段386巷23弄12號,(83)桃縣工建使字第1496號,086/04/29,'8600079303,'860124
美墅館社區管理委員會,桃園區國際路一段413巷36弄3-3號,(92)桃縣工建使字第桃00534號共3筆使照,092/10/02,'0920227922,'920112
名揚國際社區,桃園區國際路一段463巷2弄12號,(89)桃縣工建使字第桃00305號,090/03/16,'9000050748,'900044
曜園社區管理委員會,桃園區國際路一段685巷51弄19號(郵寄地址),(93)桃縣工建使字第桃01913號,095/06/27,'0950185697,'950124
哲園社區,桃園區國際路一段685巷80弄26號等,(93)桃縣工建使字第桃02087號,096/01/25,'0960033243,'096035
旺盛公寓大廈管理負責人,桃園區國際路一段68號,(99)桃縣工建使字第桃00206號,099/08/12,'0990313314,'990199
凱旭管理負責人,桃園區國際路一段83號等,(99)桃縣工建使字第桃00165號,099/12/23,'0990572963,'990307
巴黎世家社區管理委員會,桃園區國際路一段98巷28號,(84)桃縣建使字第00031號,087/06/24,'8700124705,'870130
別墅天子,桃園區國際路二段111巷106弄41號(警衛室),(93)桃縣工建使字第桃00976號,094/12/07,'0940343106,'940216
歡喜百年公寓大廈管理委員會,桃園區國際路二段150號,(84)桃縣建使字第00424號,085/09/10,'8500255407,'870219
香堤管理負責人,桃園區國際路二段199號,(97)桃縣工建使字第桃01839號,097/12/16,'0970424418,'
德華居管理負責人徐創本,桃園區國際路二段27號等,(96)桃縣工建使字第桃00515號,096/08/07,'0960263185,'
陳彥鋒公寓大廈管理負責人,桃園區國際路二段551號,(99)桃縣工建使字第桃00161號,099/04/06,'0990127495,'990060
陳彥煜公寓大廈管理負責人,桃園區國際路二段555號,(99)桃縣工建使字第桃00162號,099/04/06,'0990127501,'990061
國際松柏大廈管理委員會,桃園區國際路二段65巷23號,(83)桃縣建使字第00003號,089/11/07,'8900226735,'890178
逸林大樓管理委員會,桃園區國際路二段65巷2號,(79)桃縣建使字第00172號,093/11/30,'0930313260,'930158
鉑金逸品管理委員會,桃園區國豐七街32巷8號,(97)桃縣工建使字第桃00142號,098/06/29,'0980247647,'980102
